budget,run,random_idi,cluster_idi,improvement_pct
1000,1,0.227,0.304,32.7
1000,2,0.243,0.321,32.7
1000,3,0.228,0.304,32.7
1000,4,0.227,0.297,32.7
1000,5,0.211,0.281,32.7
2000,1,0.2345,0.338,36.4
2000,2,0.235,0.307,36.4
2000,3,0.2455,0.3095,36.4
2000,4,0.229,0.3165,36.4
2000,5,0.229,0.329,36.4
3000,1,0.2297,0.3293,38.5
3000,2,0.2353,0.3153,38.5
3000,3,0.2197,0.3207,38.5
3000,4,0.2313,0.313,38.5
3000,5,0.2353,0.3167,38.5
5000,1,0.239,0.3176,35.3
5000,2,0.2314,0.3102,35.3
5000,3,0.23,0.3114,35.3
5000,4,0.229,0.3138,35.3
5000,5,0.2342,0.3214,35.3
